site,lat,lng,zip,name,address,phone,email,web
"fullers","51.3895","-0.297569","KT6 6AL","The Prince of Wales","Surbiton","","",""
"fullers","51.0861","-0.761863","GU27 1QH","The Prince of Wales","Haslemere","","",""
"fullers","51.4332","-1.14186","RG7 6EY","The Queen's Head","Reading","","",""
"fullers","51.5984","-1.11141","OX10 8ER","The Queen's Head","Wallingford","","",""
"fullers","51.2271","-0.334761","RH4 2JS","The Queen's Head","Dorking","","",""
"fullers","51.485","-0.405415","TW5 9PB","The Queen's Head","Cranford","","",""
"fullers","51.2148","-0.79969","GU9 7NA","The Queen's Head","Farnham","","",""
"fullers","51.7625","-0.742449","HP22 6DU","Bel & The Dragon Wendover","Wendover","","",""
"fullers","51.3702","-0.16648","SM5 2HG","The Railway Tavern","Carshalton","","",""
"fullers","51.4147","-1.51252","RG17 0DY","The Railway Tavern","Hungerford","","",""
"fullers","51.9889","-1.06869","MK18 4AG","The Red Lion","Buckingham","","",""
"fullers","51.508","-0.304957","W5 5RA","Stage 6 @ Red Lion","London","","",""
"fullers","51.0495","-0.717413","GU27 3HY","The Red Lion","Haslemere","","",""
"fullers","50.8746","-1.11239","PO17 6EF","The Red Lion","Fareham","","",""
"fullers","51.476","-0.331838","TW7 5AQ","The Rising Sun","Isleworth","","",""
"fullers","51.036","-0.805688","GU30 7NA","The Rising Sun","Liphook","","",""
"fullers","51.7948","-0.658274","HP23 5ED","The Robin Hood","Tring","","",""
"fullers","50.8511","-0.9826","PO9 1EE","The Robin Hood","Havant","","",""
"fullers","51.4203","-1.71874","SN8 2AJ","The Roebuck","Marlborough","","",""
"fullers","51.467","-0.340762","TW7 6EP","The Royal Oak","Isleworth","","",""
"fullers","51.4778","-0.754249","SL6 3JN","The Royal Oak","Maidenhead","","",""
"fullers","50.8014","-0.73072","PO20 1LN","The Royal Oak","Chichester","","",""
"fullers","51.2356","-0.570042","GU1 3RR","The Royal Oak","Guildford","","",""
"fullers","51.3697","-0.101975","CR0 1SS","The Royal Standard","Croydon","","",""
"fullers","51.4929","-0.233251","W6 0QU","The Salutation","London","","",""
"fullers","50.9143","-0.996024","PO8 0BZ","Ship & Bell Hotel","Waterlooville","","",""
"fullers","50.9211","-1.58703","SO40 2NP","Sir John Barleycorn","Southampton","","",""
"fullers","51.0041","-0.937617","GU32 3HJ","The Square Brewery","Petersfield","","",""
"fullers","50.8135","-1.08855","PO2 8DR","The Ship & Castle","Portsmouth","","",""
"fullers","50.8465","-0.936496","PO10 7AW","The Ship Inn","Emsworth","","",""
"fullers","50.8278","-0.127969","BN2 9UE","The Sir Charles Napier","Brighton","","",""
"fullers","51.4824","-0.311153","TW8 8EW","The Six Bells","Brentford","","",""
"fullers","50.8113","-0.776406","PO20 1PD","The Spotted Cow","Chichester","","",""
"fullers","51.9229","-0.660214","LU7 3AB","The Stag","Leighton Buzzard","","",""
"fullers","50.8095","-1.07034","PO2 7QU","The Stag","Portsmouth","","",""
"fullers","50.9861","-0.61005","GU28 0AH","The Star","Petworth","","",""
"fullers","51.4644","-0.302503","TW9 2RG","The Sun Inn","Richmond","","",""
"fullers","51.3928","-0.304991","KT6 4NS","The Surbiton Flyer","Surbiton","","",""
"fullers","51.4689","-0.324242","TW7 6RJ","The Swan Inn","Isleworth","","",""
"fullers","51.5073738","-0.128834","W4 2QB","The Purple Petal ","Chiswick","","",""
"fullers","51.776","-1.16297","OX33 1EX","The Talkhouse","Oxford","","",""
"fullers","51.1372","-0.93379","GU34 3AE","The Three Horseshoes, East Worldham","Alton","","",""
"fullers","50.8448","-0.904592","PO10 8JH","The Traveller's Joy","Emsworth","","",""
"fullers","50.8049","-0.481701","BN16 1NN","The Tudor Tavern","East preston","","",""
"fullers","51.4082","-0.48931","TW18 1SQ","Three Horseshoes","Staines","","",""
"fullers","50.7647","-1.29867","PO31 7QH","The Union Inn","Cowes","","",""
"fullers","51.4817","-0.619687","SL4 5DD","The Vansittart Arms","Windsor","","",""
"fullers","51.5083","-0.341924","W7 3TD","The Viaduct","London","","",""
"fullers","50.6829","-1.52601","PO40 9UP","The Vine Inn","Freshwater","","",""
"fullers","51.4357","-1.08372","RG7 5BX","The Volunteer, Theale","Reading","","",""
"fullers","51.4953","-0.203259","W14 8PS","The Warwick Arms","London","","",""
"fullers","51.2177","-1.5433","SP11 0PP","The Weyhill Fair","Andover","","",""
"fullers","51.5046","-0.592065","SL1 2BE","The Wheatsheaf","Slough","","",""
"fullers","51.4892","-0.435798","UB3 5DP","The White Hart","Hayes","","",""
"fullers","51.7944","-0.079895","SG14 1HH","The White Horse","Hertford","","",""
"fullers","51.5703","-0.345348","HA2 0HL","The White Horse","Harrow on the Hill","","",""
"fullers","50.9555","-0.487124","RH20 2DY","The White Horse","Pulborough","","",""
"fullers","51.0558","-0.982123","GU32 1DA","The White Horse","Petersfield","","",""
"fullers","50.8612","-0.926514","PO10 8UE","The White Horse","Westbourne","","",""
"fullers","51.7377","-0.469385","HP3 9SB","The White Lion","Hemel Hempstead","","",""
"fullers","51.8773","-0.832787","HP22 4 JT","The White Swan","Aylesbury","","",""
"fullers","50.8335","-0.761784","PO19 7TW","The Wickham Arms","Chichester","","",""
"fullers","50.8121","-1.13657","PO12 4JU","The Windsor Castle","Gosport","","",""
"fullers","51.4170151","-0.294199","KT2 6HT","The Wych Elm","Kingston-Upon Thames","","",""
"fullers","51.0588341","-1.314798","SO23 9PE","The Wykeham Arms","Winchester","","",""
"fullers","51.0587769","-1.31467867","SO23 9PE","Saint George Tea Room","Winchester","","",""
"fullers","50.8100433","-1.193985","PO13 9DS","The Wyvern","","","",""
"fullers","50.8588","-1.31758","SO31 4JF","Ye Olde Whyte Harte","Southampton","","",""
"fullers","51.3547","-1.10328","RG7 2PH","The Calleva Arms","Silchester","","",""
"fullers","51.4742","-2.61077","BS6 7JS","The Cambridge Arms","Bristol","","",""
"fullers","50.7764","-1.74365","BH23 8BA","The Carpenter's Arms","Christchurch","","",""
"fullers","51.4531","-0.358132","TW2 7BB","The Admiral Nelson","Twickenham","","",""
"fullers","51.5074","-0.128834","WC2N 5DS","The Admiralty, Trafalgar Square","London","","",""
"fullers","51.3691","-0.366405","KT10 9QS","The Albert Arms","Esher","","",""
"fullers","50.872","-1.77509","BH24 3NA","The Alice Lisle","Ringwood","","",""
"fullers","51.4293","-0.32238","TW11 9NR","The Anglers","Teddington","","",""
"fullers","51.4941","-0.155834","SW1W 8EZ","The Antelope","London","","",""
"fullers","51.5233","-0.089988","EC1Y 8ND","The Artillery Arms","London","","",""
"fullers","51.4291","-0.45304","TW15 2HW","The Ash Tree","Ashford","","",""
"fullers","51.5178","-0.078795","E1 7JF","The Astronomer","London","","",""
"fullers","51.5095","-0.09174","EC4R 3TE","The Banker, EC4","London","","",""
"fullers","51.3342","-0.258096","KT17 4EA","The Barley Mow, Epsom","Epsom","","",""
"fullers","51.4059","0.013677","BR1 1PW","The Barrel & Horn","Bromley","","",""
"fullers","51.5062","-0.088702","SE1 9QQ","The Barrowboy & Banker, SE1","London","","",""
"fullers","50.9454","-1.03831","PO8 0UB","The Bat & Ball, Hambledon","Hambledon","","",""
"fullers","51.0308342","-1.52321255","SO51 0LB","The Bear & Ragged Staff","Romsey","","",""
"fullers","51.7516","-1.25577","OX1 4EH","The Bear Inn, Oxford","Oxford","","",""
"fullers","50.7451","-1.75998","BH23 7JG","The Bear of Burton","Christchurch","","",""
"fullers","51.487","-0.283165","W4 3PL","The Bell & Crown","London","","",""
"fullers","51.061","-1.308","SO23 9JX","The Bishop on the Bridge","Winchester","","",""
"fullers","51.5476","-0.344545","UB6 0AS","The Black Horse","Greenford","","",""
"fullers","51.4918","-0.192164","SW5 9AN","The Blackbird, Earl's Court","London","","",""
"fullers","51.4872","-0.227132","W6 9GD","The Blue Boat, Fulham Reach","London","","",""
"fullers","51.7603","-0.5568","HP4 2EF","The Boat","Berkhamsted","","",""
"fullers","51.3833275","-2.356872","BA2 4BQ","The Boater","Bath","","",""
"fullers","51.3795","-0.085976","CR0 6TP","The Builders Arms","Croydon","","",""
"fullers","50.7333","-2.75611","DT6 3LF","The Bull Hotel, Bridport","Bridport","","",""
"fullers","51.4737","-0.91175","RG4 6UP","The Bull Inn","Sonning-on-Thames","","",""
"fullers","51.5189","-0.100622","EC1A 9DY","The Butchers Hook & Cleaver, EC1","London","","",""
"fullers","51.449","-0.329866","TW1 3SZ","The Cabbage Patch, Twickenham","Twickenham","","",""
"fullers","50.8522","-1.16593","PO16 8AA","The Cams Mill","Fareham","","",""
"fullers","51.5721","-0.339914","HA1 3EF","The Castle","Harrow","","",""
"fullers","51.5062","-0.305326","W5 5EU","The Castle Inn, Ealing","London","","",""
"fullers","51.5123","-0.07583","EC3N 1NU","The Chamberlain Hotel, Tower Bridge","London","","",""
"fullers","51.2985","-1.05703","RG24 8XA","The Chineham Arms","Basingstoke","","",""
"fullers","51.5065","-0.194732","W8 7LN","The Churchill Arms, Kensington","London","","",""
"fullers","51.5132","-0.130188","W1D 5DH","The Coach & Horses, Soho","London","","",""
"fullers","51.5163651","-0.103590891","EC4M 7RA","The Conductor, Farringdon","London","","",""
"fullers","51.5134","-0.085057","EC3V 3PD","The Counting House, EC3","London","","",""
"fullers","50.9838","-1.50532","SO51 8HG","The Cromwell Arms","Romsey","","",""
"fullers","51.5373039","-0.109825","N1 0EB","The Crown, Islington","London","","",""
"fullers","51.5035","-0.236348","W12 9HY","The Crown & Sceptre","London","","",""
"fullers","50.9532","-1.213","SO32 1AF","The Crown Inn","Southampton","","",""
"fullers","51.3805","-2.35915","BA1 1NW","The Crystal Palace","Bath","","",""
"fullers","51.4896","-0.22318","W6 9PH","The Distillers","London","","",""
"fullers","51.528","-0.13189","NW1 1DN","The Doric Arch, Euston","London","","",""
"fullers","51.4905","-0.234964","W6 9TA","The Dove","London","","",""
"fullers","51.5146","-0.319268","W13 8PH","The Drayton Court Hotel","London","","",""
"fullers","51.5251","-0.320283","W13 8DL","The Duke of Kent","London","","",""
"fullers","51.1263","0.25822","TN2 5TD","The Duke of York","Tunbridge Wells","","",""
"fullers","51.6113","-0.179829","N12 8NR","The Elephant Inn, Finchley","London","","",""
"fullers","51.5287","-0.126761","NW1 2RA","The Euston Flyer, Euston Road","London","","",""
"fullers","51.5201","-0.103685","EC1M 6BP","The Fence","London","","",""
"fullers","50.7649","-1.77291","BH23 7AS","The Fisherman's Haunt","Christchurch","","",""
"fullers","51.905","-0.5984","LU7 9JF","The Five Bells","Leighton Buzzard","","",""
"fullers","51.5699","-0.150982","N6 6BU","The Flask, Highgate","London","","",""
"fullers","51.5338","-0.295626","W5 1DP","The Fox & Goose Hotel","London","","",""
"fullers","50.8725","-1.5763","SO43 7BG","The Fox & Hounds, Lyndhurst","Lyndhurst","","",""
"fullers","51.1107","-0.750602","GU26 6LG","The Fox & Pelican, Hindhead","Hindhead","","",""
"fullers","51.3483","-0.857629","RG27 0NS","The Frog & Wicket","Eversley","","",""
"fullers","51.4922","-0.256847","W4 2DR","The George IV","London","","",""
"fullers","50.8287","-0.141946","BN1 3PA","The Grand Central","Brighton","","",""
"fullers","51.5879","-0.116262","N8 7QB","The Great Northern Railway Tavern","London","","",""
"fullers","51.8981","-0.671794","LU7 0QU","The Grove Lock","Leighton Buzzard","","",""
"fullers","51.5018","-0.007731","E14 9NS","The Gun","London","","",""
"fullers","51.4528","-0.100826","SE24 9HU","The Half Moon, Herne Hill","London","","",""
"fullers","50.952","-0.9827","PO8 0QD","The Hampshire Hog","Waterlooville","","",""
"fullers","51.496","-0.208032","W14 8XJ","The Hand & Flower, Olympia","London","","",""
"fullers","51.4916","-0.339258","TW7 5PR","The Hare & Hounds","Osterley","","",""
"fullers","51.5097","-0.125934","WC2N 4HS","The Harp, Covent Garden","London","","",""
"fullers","51.8145","-0.354671","AL5 2TR","The Harpenden Arms","Harpenden","","",""
"fullers","51.7467","-1.2559","OX1 4LB","The Head of the River","Oxford","","",""
"fullers","51.4983","-0.112516","SE1 7BL","The Hercules","London","","",""
"fullers","51.4929","-0.181371","SW7 4TE","The Hereford Arms","London","","",""
"fullers","50.8811","-1.03086","PO7 7DZ","The Heroes","Waterlooville","","",""
"fullers","51.3839","-1.15427","RG7 4LX","The Hind's Head","Aldermaston","","",""
"fullers","51.5576","-0.1792","NW3 6SG","The Holly Bush","London","","",""
"fullers","51.0907","-1.16113","SO24 9AQ","The Horse & Groom","Winchester","","",""
"fullers","51.5095","-0.080966","EC3R 5AQ","Hung Drawn & Quartered","London","","",""
"fullers","51.3808","-2.35799","BA1 1LJ","The Huntsman, Bath","Bath","","",""
"fullers","51.5104","-0.08633","EC3R 8BG","The Hydrant","London","","",""
"fullers","51.5177","-0.11025","EC1N 2LE","The Inn of Court","London","","",""
"fullers","51.5127","-0.145928","W1K 4AN","The Iron Duke, Mayfair","London","","",""
