url,total_reviews,review_id,user,user_review_count,review_date,review_rating,review_url,review_title,review_text,user_visited_date,user_location
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","843615445","pamsS8493JM","","2022/06/19","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r843615445-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Awesome","The best pizza we have ever had...we were on vacation and had lunch one day and returned for dinner before we headed home. Service was amazing and great sweet tea. Will definitely eat there again when we return.","June 2022",""
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","843608281","teresasH9813CS","","2022/06/19","3","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r843608281-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Baseball tourney","The staff is very creepy they would literally stare at us while we ate our waitress was nice but they need to teach the staff to not stare at the other tables they aren't waiting on. It was a creepy vibe","June 2022","Murfreesboro, Tennessee"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","843573508","MegT423","","2022/06/19","3","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r843573508-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Good drinks but felt rushed","We sat at the bar and had a few drinks but felt rushed the entire time. Our bartender was awesome tho, really quick with anything we asked.","June 2022","Bristol, Tennessee"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","840724616","369pedro","","2022/05/30","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r840724616-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Great experience","Delicious pizza, servers are very kind and attentive. The drinks are so good must try them. Shiitake pizza with bacon is the bomb !!","May 2022",""
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","839544937","rachb84","","2022/05/22","3","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r839544937-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","It was ok....","The ""parmesan bites"" (they aren't pretzels) were delicious, as was the cheese dip served with them.

Pizza was good but they are stingy with the toppings as you can see in the photo...very little toppings....There was a taste to the cheese I didn't care for. I loved the crust though! Save the cheese dip from the bread for the pizza crust. It was just the right amount of Crispy and Chewy and very tasty.

Service was...eh...waitress was sweet, new, and there was a language barrier but she really tried and did a good job at it. Host kept trying to sit us outside...who eats pizza outside when it's 90 degrees? They didn't seem thrilled that we didn't want to eat outside.

They don't give, or advertise, a kids menu....but they do have kids Mac N Cheese for those who don't like Pizza and it was really cheesy and good.","May 2022","Georgia"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","839007138","Fran N","","2022/05/18","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r839007138-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Girls trip","We spent an evening at the Island and wanted an easy dinner. This was some of the best pizza Iâve ever had.","May 2022","Nutter Fort Stonewood, West Virginia"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","838596739","Melaney68","","2022/05/15","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r838596739-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","The Best Pizza and Greek Salad","Gatlinburg was busy so we were grateful to be seated and greeted right away. We split the large Greek salad and it was absolutely delicious and was a generous serving. We had the mushroom pizza and the crust was perfect, it was cooked just right, and we were happy to have leftovers the next day. We would definitely return.","April 2022","Chesapeake Beach, Maryland"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","838512804","JJedwards19","","2022/05/14","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r838512804-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Delicious","Being a NYer, Iâm pretty picky about my pizza. Mellow Mushroom pizza was amazing! We had the Great White pizza and the Buffalo Chicken pizza plus pretzel bites. It was all delicious!","May 2022",""
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","836200250","H3050JOjimr","","2022/04/26","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r836200250-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Good eats","Stopped in because I wanted to try them the last few years and never did. Got myself a small buffalo chicken pizza and a soda. The waitress was attentive and brought everything in a timely manner. The pizza was excellent with real chicken on it..the spice was there but not overwhelming..the crust had a good crunch to it but still was a little chewy which is a good combo. Definitely will visit again and definitely recommend!","April 2022",""
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","834440633","Jenascar6","","2022/04/13","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r834440633-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Excellent food","Stopped in here for lunch yesterday after touring the Hollywood Stars Cars Museum (super neat!). 3 adults and 2 teen boys. Everyone got pizza of some sort, also ordered pretzel bites. Everything was delicious a day the staff was very friendly. Neat little restaurant, highly recommend.","April 2022","Virginia Beach, Virginia"
